Date,Attendees,Bay,Habitat,Quad,Cardinal_Direction,Vegetation,Wood,Open,Total_VegWood,Percent_Open,Percent_Overstory
44950,"AJH, AWD, LU, KWG",Otter,Debris,U3,North,0,0,96,0,99.84,0.16
44950,"AJH, AWD, LU, KWG",Otter,Fringe,S3,North,21,6,69,27,71.76,28.24
44950,"AJH, AWD, LU, KWG",Otter,Fringe,S1,North,71,18,7,89,7.28,92.72
44950,"AJH, AWD, LU, KWG",Otter,Debris,U1,North,0,0,96,0,99.84,0.16
44950,"AJH, AWD, LU, KWG",Otter,Fringe,S2,North,25,66,5,91,5.2,94.8
44950,"AJH, AWD, LU, KWG",Otter,Debris,U2,North,14,6,76,20,79.04,20.96
44950,"AJH, AWD, LU, KWG",Water,Fringe,S3,North,27,66,3,93,3.12,96.88
44950,"AJH, AWD, LU, KWG",Water,Debris,U3,North,0,4,92,4,95.68,4.32
44950,"AJH, AWD, LU, KWG",Water,Debris,U2,North,0,0,96,0,99.84,0.16
44950,"AJH, AWD, LU, KWG",Water,Fringe,S2,North,79,1,16,80,16.64,83.36
44950,"AJH, AWD, LU, KWG",Water,Debris,U1,North,11,41,44,52,45.76,54.24
44950,"AJH, AWD, LU, KWG",Water,Fringe,S1,North,27,66,3,93,3.12,96.88
44950,"AJH, AWD, LU, KWG",Otter,Debris,U3,South,19,4,73,23,75.92,24.08
44950,"AJH, AWD, LU, KWG",Otter,Fringe,S3,South,34,2,60,36,62.4,37.6
44950,"AJH, AWD, LU, KWG",Otter,Fringe,S1,South,70,25,1,95,1.04,98.96
44950,"AJH, AWD, LU, KWG",Otter,Debris,U1,South,20,26,50,46,52,48
44950,"AJH, AWD, LU, KWG",Otter,Fringe,S2,South,58,8,30,66,31.2,68.8
44950,"AJH, AWD, LU, KWG",Otter,Debris,U2,South,0,0,96,0,99.84,0.16
44950,"AJH, AWD, LU, KWG",Water,Fringe,S3,South,81,9,6,90,6.24,93.76
44950,"AJH, AWD, LU, KWG",Water,Debris,U3,South,0,7,89,7,92.56,7.44
44950,"AJH, AWD, LU, KWG",Water,Debris,U2,South,0,0,96,0,99.84,0.16
44950,"AJH, AWD, LU, KWG",Water,Fringe,S2,South,87,9,0,96,0,100
44950,"AJH, AWD, LU, KWG",Water,Debris,U1,South,0,0,96,0,99.84,0.16
44950,"AJH, AWD, LU, KWG",Water,Fringe,S1,South,25,67,4,92,4.16,95.84
44950,"AJH, AWD, LU, KWG",Otter,Debris,U3,East,14,15,67,29,69.68,30.32
44950,"AJH, AWD, LU, KWG",Otter,Fringe,S3,East,84,8,4,92,4.16,95.84
44950,"AJH, AWD, LU, KWG",Otter,Fringe,S1,East,84,7,5,91,5.2,94.8
44950,"AJH, AWD, LU, KWG",Otter,Debris,U1,East,14,3,79,17,82.16,17.84
44950,"AJH, AWD, LU, KWG",Otter,Fringe,S2,East,12,79,5,91,5.2,94.8
44950,"AJH, AWD, LU, KWG",Otter,Debris,U2,East,0,9,87,9,90.48,9.52
44950,"AJH, AWD, LU, KWG",Water,Fringe,S3,East,77,6,13,83,13.52,86.48
44950,"AJH, AWD, LU, KWG",Water,Debris,U3,East,0,30,66,30,68.64,31.36
44950,"AJH, AWD, LU, KWG",Water,Debris,U2,East,0,0,96,0,99.84,0.16
44950,"AJH, AWD, LU, KWG",Water,Fringe,S2,East,88,2,6,90,6.24,93.76
44950,"AJH, AWD, LU, KWG",Water,Debris,U1,East,0,0,96,0,99.84,0.16
44950,"AJH, AWD, LU, KWG",Water,Fringe,S1,East,26,57,13,83,13.52,86.48
44950,"AJH, AWD, LU, KWG",Otter,Debris,U3,West,0,0,96,0,99.84,0.16
44950,"AJH, AWD, LU, KWG",Otter,Fringe,S3,West,6,0,90,6,93.6,6.4
44950,"AJH, AWD, LU, KWG",Otter,Fringe,S1,West,66,28,2,94,2.08,97.92
44950,"AJH, AWD, LU, KWG",Otter,Debris,U1,West,0,12,84,12,87.36,12.64
44950,"AJH, AWD, LU, KWG",Otter,Fringe,S2,West,19,60,17,79,17.68,82.32
44950,"AJH, AWD, LU, KWG",Otter,Debris,U2,West,0,0,96,0,99.84,0.16
44950,"AJH, AWD, LU, KWG",Water,Fringe,S3,West,64,29,3,93,3.12,96.88
44950,"AJH, AWD, LU, KWG",Water,Debris,U3,West,0,8,88,8,91.52,8.48
44950,"AJH, AWD, LU, KWG",Water,Debris,U2,West,0,5,91,5,94.64,5.36
44950,"AJH, AWD, LU, KWG",Water,Fringe,S2,West,80,13,3,93,3.12,96.88
44950,"AJH, AWD, LU, KWG",Water,Debris,U1,West,22,12,62,34,64.48,35.52
44950,"AJH, AWD, LU, KWG",Water,Fringe,S1,West,20,71,5,91,5.2,94.8